source,target
GJ-1093,Gl-232
GJ-1093,Gl-268.3
GJ-1093,Gl-251
GJ-1093,Gl-268
GJ-1116A,Gl-285
GJ-1116A,Gl-280A
GJ-1116A,Gl-273
GJ-1116A,NN-3522
GJ-1116A,Gl-299
GJ-1116A,GJ-1116A
GJ-1116A,GJ-1116B
GJ-1116A,Gl-388
GJ-1116A,GJ-1111
GJ-1116A,Gl-251
GJ-1116A,Gl-268
GJ-1116A,Gl-380
GJ-1116B,Gl-285
GJ-1116B,Gl-280A
GJ-1116B,Gl-273
GJ-1116B,NN-3522
GJ-1116B,Gl-299
GJ-1116B,GJ-1116A
GJ-1116B,GJ-1116B
GJ-1116B,Gl-388
GJ-1116B,GJ-1111
GJ-1116B,Gl-251
GJ-1116B,Gl-268
GJ-1116B,Gl-380
Gl-388,NN-3622
Gl-388,Gl-447
Gl-388,Gl-402
Gl-388,Gl-406
Gl-388,NN-3522
Gl-388,Gl-473A
Gl-388,GJ-1116A
Gl-388,GJ-1116B
Gl-388,Gl-388
Gl-388,Gl-408
Gl-388,GJ-1111
Gl-388,Gl-411
Gl-388,Gl-412B
Gl-388,Gl-412A
Gl-388,Gl-380
Gl-896B,GJ-1286
Gl-896B,Gl-908
Gl-896B,Gl-33
Gl-896B,Gl-880
Gl-896B,Gl-896B
Gl-896B,Gl-896A
Gl-896B,GJ-1289
Gl-896B,Gl-873
Gl-896A,GJ-1286
Gl-896A,Gl-908
Gl-896A,Gl-33
Gl-896A,Gl-880
Gl-896A,Gl-896B
Gl-896A,Gl-896A
Gl-896A,GJ-1289
Gl-896A,Gl-873
Gl-68,Gl-70
Gl-68,Gl-33
Gl-68,Gl-105B
Gl-68,Gl-105A
Gl-68,NN-3128
Gl-68,NN-3146
Gl-68,Gl-68
Gl-68,Gl-109
GJ-2097,Gl-518
GJ-2097,Gl-493.1
GJ-2097,Gl-473A
GJ-2097,Gl-486
GJ-2097,NN-3716
GJ-2097,Gl-514
GJ-2097,GJ-1156
GJ-2097,Gl-512.1
GJ-2097,Gl-526
GJ-2097,Gl-566B
GJ-2097,Gl-566A
GJ-2097,GJ-2097
GJ-2097,Gl-502
GJ-2097,NN-3789
Gl-745B,Gl-745B
Gl-745B,Gl-745A
Gl-745B,GJ-1230A
Gl-745B,Gl-695B
Gl-745B,Gl-695A
Gl-745B,Gl-747A
Gl-745B,Gl-721
Gl-745A,Gl-745B
Gl-745A,Gl-745A
Gl-745A,GJ-1230A
Gl-745A,Gl-695B
Gl-745A,Gl-695A
Gl-745A,Gl-747A
Gl-745A,Gl-721
Gl-408,Gl-393
Gl-408,Gl-402
Gl-408,NN-3716
Gl-408,GJ-1156
Gl-408,Gl-388
Gl-408,Gl-408
Gl-408,Gl-434
Gl-408,Gl-450
Gl-408,Gl-451A
Gl-408,Gl-412B
Gl-408,Gl-412A
Gl-232,GJ-1087
Gl-232,Gl-213
Gl-232,GJ-1093
Gl-232,Gl-232
Gl-232,Gl-268.3
Gl-232,Gl-251
GJ-1230A,Gl-752B
GJ-1230A,Gl-752A
GJ-1230A,Gl-686
GJ-1230A,Gl-745B
GJ-1230A,Gl-745A
GJ-1230A,GJ-1230A
GJ-1230A,Gl-695B
GJ-1230A,Gl-695A
GJ-1230A,Gl-747A
GJ-1230A,Gl-721
GJ-1230A,NN-4063
Gl-109,Gl-105B
Gl-109,Gl-105A
Gl-109,NN-3128
Gl-109,NN-3146
Gl-109,Gl-68
Gl-109,Gl-109
GJ-1111,Gl-244B
GJ-1111,Gl-244A
GJ-1111,Gl-234A
GJ-1111,Gl-280A
GJ-1111,Gl-273
GJ-1111,Gl-406
GJ-1111,NN-3522
GJ-1111,GJ-1116A
GJ-1111,GJ-1116B
GJ-1111,Gl-388
GJ-1111,GJ-1111
GJ-1111,Gl-251
GJ-1111,Gl-411
GJ-1111,Gl-268
GJ-1111,Gl-380
Gl-268.3,GJ-1093
Gl-268.3,Gl-232
Gl-268.3,Gl-268.3
Gl-268.3,Gl-251
Gl-268.3,Gl-268
Gl-268.3,GJ-1105
Gl-695B,Gl-686
Gl-695B,Gl-745B
Gl-695B,Gl-745A
Gl-695B,GJ-1230A
Gl-695B,Gl-695B
Gl-695B,Gl-695A
Gl-695B,Gl-747A
Gl-695B,Gl-721
Gl-695B,NN-4063
Gl-695B,NN-3991
Gl-695A,Gl-686
Gl-695A,Gl-745B
Gl-695A,Gl-745A
Gl-695A,GJ-1230A
Gl-695A,Gl-695B
Gl-695A,Gl-695A
Gl-695A,Gl-747A
Gl-695A,Gl-721
Gl-695A,NN-4063
Gl-695A,NN-3991
Gl-502,Gl-486
Gl-502,Gl-514
Gl-502,Gl-512.1
Gl-502,GJ-2097
Gl-502,Gl-502
Gl-502,NN-3789
Gl-502,Gl-434
Gl-502,Gl-450
Gl-502,Gl-451A
Gl-502,Gl-475
NN-4247,Gl-829
NN-4247,NN-4247
NN-3789,Gl-514
NN-3789,Gl-512.1
NN-3789,Gl-526
NN-3789,Gl-566B
NN-3789,Gl-566A
NN-3789,GJ-2097
NN-3789,Gl-502
NN-3789,NN-3789
NN-3789,Gl-475
Gl-747A,Gl-745B
Gl-747A,Gl-745A
Gl-747A,GJ-1230A
Gl-747A,Gl-695B
Gl-747A,Gl-695A
Gl-747A,Gl-747A
Gl-747A,Gl-721
Gl-747A,NN-4063
Gl-251,Gl-273
Gl-251,Gl-213
Gl-251,GJ-1093
Gl-251,GJ-1116A
Gl-251,GJ-1116B
Gl-251,Gl-232
Gl-251,GJ-1111
Gl-251,Gl-268.3
Gl-251,Gl-251
Gl-251,Gl-268
Gl-251,GJ-1105
Gl-434,Gl-408
Gl-434,Gl-502
Gl-434,Gl-434
Gl-434,Gl-450
Gl-434,Gl-451A
Gl-434,Gl-475
Gl-434,GJ-1151
Gl-450,Gl-408
Gl-450,Gl-502
Gl-450,Gl-434
Gl-450,Gl-450
Gl-450,Gl-451A
Gl-450,Gl-475
Gl-450,GJ-1151
Gl-411,Sun
Gl-411,Gl-447
Gl-411,Gl-280A
Gl-411,Gl-406
Gl-411,NN-3522
Gl-411,Gl-473A
Gl-411,Gl-388
Gl-411,GJ-1111
Gl-411,Gl-411
Gl-411,Gl-412B
Gl-411,Gl-412A
Gl-411,Gl-380
GJ-1289,Gl-896B
GJ-1289,Gl-896A
GJ-1289,GJ-1289
GJ-1289,Gl-892
Gl-451A,Gl-408
Gl-451A,Gl-502
Gl-451A,Gl-434
Gl-451A,Gl-450
Gl-451A,Gl-451A
Gl-451A,Gl-475
Gl-451A,GJ-1151
Gl-268,GJ-1093
Gl-268,GJ-1116A
Gl-268,GJ-1116B
Gl-268,GJ-1111
Gl-268,Gl-268.3
Gl-268,Gl-251
Gl-268,Gl-268
Gl-268,GJ-1105
Gl-268,Gl-338A
Gl-268,Gl-338B
Gl-820B,Gl-699
Gl-820B,Gl-768
Gl-820B,Gl-820B
Gl-820B,Gl-820A
Gl-820B,Gl-15B
Gl-820B,Gl-15A
Gl-820B,Gl-905
Gl-820B,Gl-873
Gl-820B,GJ-1245A
Gl-820B,GJ-1245B
Gl-820B,Gl-860B
Gl-820B,Gl-860A
Gl-820B,Gl-725B
Gl-820B,Gl-725A
Gl-820A,Gl-699
Gl-820A,Gl-768
Gl-820A,Gl-820B
Gl-820A,Gl-820A
Gl-820A,Gl-15B
Gl-820A,Gl-15A
Gl-820A,Gl-905
Gl-820A,Gl-873
Gl-820A,GJ-1245A
Gl-820A,GJ-1245B
Gl-820A,Gl-860B
Gl-820A,Gl-860A
Gl-820A,Gl-725B
Gl-820A,Gl-725A
Gl-721,Gl-745B
Gl-721,Gl-745A
Gl-721,GJ-1230A
Gl-721,Gl-695B
Gl-721,Gl-695A
Gl-721,Gl-747A
Gl-721,Gl-721
Gl-721,NN-4063
Gl-721,NN-3991
Gl-721,Gl-661A
NN-4063,GJ-1230A
NN-4063,Gl-695B
NN-4063,Gl-695A
NN-4063,Gl-747A
NN-4063,Gl-721
NN-4063,NN-4063
NN-4063,NN-3991
NN-4063,Gl-661A
GJ-1105,Gl-268.3
GJ-1105,Gl-251
GJ-1105,Gl-268
GJ-1105,GJ-1105
GJ-1105,Gl-338A
GJ-1105,Gl-338B
GJ-1105,NN-3421
Gl-475,Gl-502
Gl-475,NN-3789
Gl-475,Gl-434
Gl-475,Gl-450
Gl-475,Gl-451A
Gl-475,Gl-475
Gl-475,GJ-1151
Gl-412B,Gl-388
Gl-412B,Gl-408
Gl-412B,Gl-411
Gl-412B,Gl-412B
Gl-412B,Gl-412A
Gl-412B,Gl-380
Gl-412B,Gl-338A
Gl-412B,Gl-338B
Gl-412A,Gl-388
Gl-412A,Gl-408
Gl-412A,Gl-411
Gl-412A,Gl-412B
Gl-412A,Gl-412A
Gl-412A,Gl-380
Gl-412A,Gl-338A
Gl-412A,Gl-338B
NN-3991,Gl-695B
NN-3991,Gl-695A
NN-3991,Gl-721
NN-3991,NN-4063
NN-3991,NN-3991
NN-3991,Gl-661A
NN-3991,Gl-623
NN-3991,Gl-625
NN-3991,GJ-1227
Gl-15B,Gl-35
Gl-15B,Gl-83.1
Gl-15B,Gl-820B
Gl-15B,Gl-820A
Gl-15B,Gl-15B
Gl-15B,Gl-15A
Gl-15B,Gl-905
Gl-15B,Gl-873
Gl-15B,Gl-860B
Gl-15B,Gl-860A
Gl-15B,Gl-34B
Gl-15B,Gl-34A
Gl-15B,Gl-725B
Gl-15B,Gl-725A
Gl-15A,Gl-35
Gl-15A,Gl-83.1
Gl-15A,Gl-820B
Gl-15A,Gl-820A
Gl-15A,Gl-15B
Gl-15A,Gl-15A
Gl-15A,Gl-905
Gl-15A,Gl-873
Gl-15A,Gl-860B
Gl-15A,Gl-860A
Gl-15A,Gl-34B
Gl-15A,Gl-34A
Gl-15A,Gl-725B
Gl-15A,Gl-725A
Gl-905,Gl-35
Gl-905,Gl-83.1
Gl-905,Gl-820B
Gl-905,Gl-820A
Gl-905,Gl-15B
Gl-905,Gl-15A
Gl-905,Gl-905
Gl-905,Gl-873
Gl-905,GJ-1245A
Gl-905,GJ-1245B
Gl-905,Gl-860B
Gl-905,Gl-860A
Gl-905,Gl-34B
Gl-905,Gl-34A
Gl-905,Gl-725B
Gl-905,Gl-725A
Gl-873,Gl-896B
Gl-873,Gl-896A
Gl-873,Gl-820B
Gl-873,Gl-820A
Gl-873,Gl-15B
Gl-873,Gl-15A
Gl-873,Gl-905
Gl-873,Gl-873
Gl-873,GJ-1245A
Gl-873,GJ-1245B
Gl-873,Gl-892
Gl-873,Gl-860B
Gl-873,Gl-860A
Gl-873,Gl-34B
Gl-873,Gl-34A
GJ-1245A,Gl-768
GJ-1245A,Gl-820B
GJ-1245A,Gl-820A
GJ-1245A,Gl-905
GJ-1245A,Gl-873
GJ-1245A,GJ-1245A
GJ-1245A,GJ-1245B
GJ-1245A,Gl-860B
GJ-1245A,Gl-860A
GJ-1245A,Gl-725B
GJ-1245A,Gl-725A
GJ-1245A,Gl-687
GJ-1245A,Gl-764
GJ-1245B,Gl-768
GJ-1245B,Gl-820B
GJ-1245B,Gl-820A
GJ-1245B,Gl-905
GJ-1245B,Gl-873
GJ-1245B,GJ-1245A
GJ-1245B,GJ-1245B
GJ-1245B,Gl-860B
GJ-1245B,Gl-860A
GJ-1245B,Gl-725B
GJ-1245B,Gl-725A
GJ-1245B,Gl-687
GJ-1245B,Gl-764
Gl-661A,Gl-721
Gl-661A,NN-4063
Gl-661A,NN-3991
Gl-661A,Gl-661A
Gl-661A,Gl-623
Gl-661A,Gl-625
Gl-661A,NN-4053
Gl-661A,Gl-687
Gl-661A,GJ-1221
Gl-623,NN-3991
Gl-623,Gl-661A
Gl-623,Gl-623
Gl-623,Gl-625
Gl-623,GJ-1227
Gl-623,NN-4053
GJ-1151,Gl-434
GJ-1151,Gl-450
GJ-1151,Gl-451A
GJ-1151,Gl-475
GJ-1151,GJ-1151
GJ-1151,Gl-424
GJ-1151,Gl-487
Gl-380,GJ-1116A
Gl-380,GJ-1116B
Gl-380,Gl-388
Gl-380,GJ-1111
Gl-380,Gl-411
Gl-380,Gl-412B
Gl-380,Gl-412A
Gl-380,Gl-380
Gl-380,Gl-338A
Gl-380,Gl-338B
Gl-380,Gl-445
Gl-338A,Gl-268
Gl-338A,GJ-1105
Gl-338A,Gl-412B
Gl-338A,Gl-412A
Gl-338A,Gl-380
Gl-338A,Gl-338A
Gl-338A,Gl-338B
Gl-338A,Gl-445
Gl-338B,Gl-268
Gl-338B,GJ-1105
Gl-338B,Gl-412B
Gl-338B,Gl-412A
Gl-338B,Gl-380
Gl-338B,Gl-338A
Gl-338B,Gl-338B
Gl-338B,Gl-445
NN-3421,GJ-1105
NN-3421,NN-3421
NN-3421,NN-3378
Gl-625,NN-3991
Gl-625,Gl-661A
Gl-625,Gl-623
Gl-625,Gl-625
Gl-625,GJ-1227
Gl-625,NN-4053
Gl-625,Gl-687
Gl-625,Gl-764
Gl-625,GJ-1221
Gl-625,Gl-713AB
Gl-53A,Gl-53A
Gl-53A,Gl-892
Gl-53A,Gl-34B
Gl-53A,Gl-34A
Gl-53A,Gl-49
Gl-53A,Gl-51
Gl-53A,Gl-48
Gl-892,GJ-1289
Gl-892,Gl-873
Gl-892,Gl-53A
Gl-892,Gl-892
Gl-892,Gl-860B
Gl-892,Gl-860A
Gl-892,Gl-34B
Gl-892,Gl-34A
Gl-892,Gl-809
Gl-892,Gl-49
Gl-892,Gl-51
Gl-892,Gl-48
Gl-860B,Gl-820B
Gl-860B,Gl-820A
Gl-860B,Gl-15B
Gl-860B,Gl-15A
Gl-860B,Gl-905
Gl-860B,Gl-873
Gl-860B,GJ-1245A
Gl-860B,GJ-1245B
Gl-860B,Gl-892
Gl-860B,Gl-860B
Gl-860B,Gl-860A
Gl-860B,Gl-34B
Gl-860B,Gl-34A
Gl-860B,Gl-725B
Gl-860B,Gl-725A
Gl-860B,Gl-687
Gl-860B,Gl-764
Gl-860A,Gl-820B
Gl-860A,Gl-820A
Gl-860A,Gl-15B
Gl-860A,Gl-15A
Gl-860A,Gl-905
Gl-860A,Gl-873
Gl-860A,GJ-1245A
Gl-860A,GJ-1245B
Gl-860A,Gl-892
Gl-860A,Gl-860B
Gl-860A,Gl-860A
Gl-860A,Gl-34B
Gl-860A,Gl-34A
Gl-860A,Gl-725B
Gl-860A,Gl-725A
Gl-860A,Gl-687
Gl-860A,Gl-764
Gl-34B,Gl-15B
Gl-34B,Gl-15A
Gl-34B,Gl-905
Gl-34B,Gl-873
Gl-34B,Gl-53A
Gl-34B,Gl-892
Gl-34B,Gl-860B
Gl-34B,Gl-860A
Gl-34B,Gl-34B
Gl-34B,Gl-34A
Gl-34B,Gl-169.1A
Gl-34B,Gl-169.1B
Gl-34B,Gl-49
Gl-34A,Gl-15B
Gl-34A,Gl-15A
Gl-34A,Gl-905
Gl-34A,Gl-873
Gl-34A,Gl-53A
Gl-34A,Gl-892
Gl-34A,Gl-860B
Gl-34A,Gl-860A
Gl-34A,Gl-34B
Gl-34A,Gl-34A
Gl-34A,Gl-169.1A
Gl-34A,Gl-169.1B
Gl-34A,Gl-49
Gl-169.1A,Gl-34B
Gl-169.1A,Gl-34A
Gl-169.1A,Gl-169.1A
Gl-169.1A,Gl-169.1B
Gl-169.1A,NN-3378
Gl-169.1B,Gl-34B
Gl-169.1B,Gl-34A
Gl-169.1B,Gl-169.1A
Gl-169.1B,Gl-169.1B
Gl-169.1B,NN-3378
Gl-725B,Gl-699
Gl-725B,Gl-820B
Gl-725B,Gl-820A
Gl-725B,Gl-15B
Gl-725B,Gl-15A
Gl-725B,Gl-905
Gl-725B,GJ-1245A
Gl-725B,GJ-1245B
Gl-725B,Gl-860B
Gl-725B,Gl-860A
Gl-725B,Gl-725B
Gl-725B,Gl-725A
Gl-725B,Gl-687
Gl-725B,Gl-764
Gl-725B,GJ-1221
Gl-725A,Gl-699
Gl-725A,Gl-820B
Gl-725A,Gl-820A
Gl-725A,Gl-15B
Gl-725A,Gl-15A
Gl-725A,Gl-905
Gl-725A,GJ-1245A
Gl-725A,GJ-1245B
Gl-725A,Gl-860B
Gl-725A,Gl-860A
Gl-725A,Gl-725B
Gl-725A,Gl-725A
Gl-725A,Gl-687
Gl-725A,Gl-764
Gl-725A,GJ-1221
NN-3378,NN-3421
NN-3378,Gl-169.1A
NN-3378,Gl-169.1B
NN-3378,NN-3378
GJ-1227,NN-3991
GJ-1227,Gl-623
GJ-1227,Gl-625
GJ-1227,GJ-1227
GJ-1227,Gl-809
GJ-1227,Gl-793
GJ-1227,NN-4053
GJ-1227,Gl-764
GJ-1227,GJ-1221
GJ-1227,Gl-713AB
Gl-809,Gl-892
Gl-809,GJ-1227
Gl-809,Gl-809
Gl-809,Gl-793
Gl-809,NN-4053
Gl-809,Gl-764
Gl-809,GJ-1221
Gl-809,Gl-713AB
Gl-49,Gl-53A
Gl-49,Gl-892
Gl-49,Gl-34B
Gl-49,Gl-34A
Gl-49,Gl-49
Gl-49,Gl-51
Gl-49,Gl-48
Gl-51,Gl-53A
Gl-51,Gl-892
Gl-51,Gl-49
Gl-51,Gl-51
Gl-51,Gl-48
Gl-793,GJ-1227
Gl-793,Gl-809
Gl-793,Gl-793
Gl-793,NN-4053
Gl-793,Gl-764
Gl-793,GJ-1221
Gl-793,Gl-713AB
Gl-424,GJ-1151
Gl-424,Gl-424
Gl-424,Gl-487
Gl-487,GJ-1151
Gl-487,Gl-424
Gl-487,Gl-487
NN-4053,Gl-661A
NN-4053,Gl-623
NN-4053,Gl-625
NN-4053,GJ-1227
NN-4053,Gl-809
NN-4053,Gl-793
NN-4053,NN-4053
NN-4053,Gl-687
NN-4053,Gl-764
NN-4053,GJ-1221
NN-4053,Gl-713AB
Gl-687,GJ-1245A
Gl-687,GJ-1245B
Gl-687,Gl-661A
Gl-687,Gl-625
Gl-687,Gl-860B
Gl-687,Gl-860A
Gl-687,Gl-725B
Gl-687,Gl-725A
Gl-687,NN-4053
Gl-687,Gl-687
Gl-687,Gl-764
Gl-687,GJ-1221
Gl-687,Gl-713AB
Gl-687,Gl-445
Gl-764,GJ-1245A
Gl-764,GJ-1245B
Gl-764,Gl-625
Gl-764,Gl-860B
Gl-764,Gl-860A
Gl-764,Gl-725B
Gl-764,Gl-725A
Gl-764,GJ-1227
Gl-764,Gl-809
Gl-764,Gl-793
Gl-764,NN-4053
Gl-764,Gl-687
Gl-764,Gl-764
Gl-764,GJ-1221
Gl-764,Gl-713AB
Gl-764,Gl-445
GJ-1221,Gl-661A
GJ-1221,Gl-625
GJ-1221,Gl-725B
GJ-1221,Gl-725A
GJ-1221,GJ-1227
GJ-1221,Gl-809
GJ-1221,Gl-793
GJ-1221,NN-4053
GJ-1221,Gl-687
GJ-1221,Gl-764
GJ-1221,GJ-1221
GJ-1221,Gl-713AB
GJ-1221,Gl-445
Gl-48,Gl-53A
Gl-48,Gl-892
Gl-48,Gl-49
Gl-48,Gl-51
Gl-48,Gl-48
Gl-713AB,Gl-625
Gl-713AB,GJ-1227
Gl-713AB,Gl-809
Gl-713AB,Gl-793
Gl-713AB,NN-4053
Gl-713AB,Gl-687
Gl-713AB,Gl-764
Gl-713AB,GJ-1221
Gl-713AB,Gl-713AB
Gl-445,Gl-380
Gl-445,Gl-338A
Gl-445,Gl-338B
Gl-445,Gl-687
Gl-445,Gl-764
Gl-445,GJ-1221
Gl-445,Gl-445
